Name,Street,House_number,Zip_code,City,Tel,Email,Website
AIDS-Hilfe Hanau und Main-Kinzig-Kreis e.V.,Alfred-Delp-Str.,10,63450,Hanau,06181 31000,info@aidshilfe-hanau.de,https://www.aidshilfe-hanau.de/
AIDS-Hilfe Hessen e.V.,Böttgerstr.,22,60389,Frankfurt,069 590711,aids-hilfe-hessen@t-online.de,http://www.aids-hilfe-hessen.de/
AIDS-Hilfe Kassel e.V.,Motzstr.,1,34117,Kassel,0561 97975910,info@kassel.aidshilfe.de,http://www.aids-hilfe-kassel.de/
AIDS-Hilfe Marburg e.V.,Bahnhofstr.,27,35037,Marburg,06421 64523,mail@aids-hilfe-marburg.de,http://marburg.aidshilfe.de/
AIDS-Hilfe Offenbach e.V.,Frankfurter Str.,48,63065,Offenbach,069 883688,info@offenbach.aidshilfe.de,http://www.offenbach.aidshilfe.de/
AIDS-Hilfe Wiesbaden e.V.,Karl-Glässingstr.,5,65183,Wiesbaden,0611 302436,ahwiesbaden@t-online.de,http://www.aidshilfe-wiesbaden.de/
Akademische Bildungsplattform e.V.,Kurt-Schumacher-Str.,5,34117,Kassel,0561 890202,info@abplattform.de,www.abplattform.de
AKGG Stiftung,Treppenstr.,4,34117,Kassel,0561 81644401,s.link@akgg.de,
Aktion - Perspektiven für junge Menschen und Familien e.V.,Schanzenstr.,18,35390,Gießen,0641 71020,info@aktion-verein.org,http://www.aktion-verein.org/
"Aktion für Behinderte, Verein für Behinderte und ihre Familien e.V.",c/o Frau Ilona Langer Weiherbachstr.,28,35708,Haiger,02775 7139,impressum@aktionfuerbehinderte.de,http://www.aktionfuerbehinderte.de
Aktionsgemeinschaft Soziale Arbeit e.V. (AGS),Offenthaler Str.,75,63128,Dietzenbach,06074 6964059,info@ags-ev.com,http://www.ags-ev.com/
Aktives Leben im Alter gGmbH,An der Mühle,2-4,35466,Rabenau,06407 40388-0,info@altenpflege-gruenberg.de,http://www.altenpflege-gruenberg.de/
Aktivspielplatz Wilde Wiese e.V.,Theodor-Heuss-Ring,63,63128,Dietzenbach,,info@kinder-und-jugendwelten.de,www.kinder-und-jugendwelten.de/
Albert-Schweitzer-Kinderdorf Hessen e.V. - Zentrale Dienste -,Am Pedro-Jung-Park,1,63450,Hanau,06181 27060,info@ask-hessen.de,http://www.ask-hessen.de
Allgemeiner Almosenkasten Stiftung des öffentlichen Rechts,Berliner Str.,33-35,60311,Frankfurt,069 2123230,almosenkasten.stiftung@stadt-frankfurt.de,http://www.frankfurter-stiftungen.de
Allgemeiner Rettungsverband Frankfurt e.V.,Griesheimer Stadtweg,62,65933,Frankfurt,069 3803300,frankfurt@arv.net,http://www.arv.net/
Allianz für Assistenzhunde - Pfotenpiloten e.V.,Lauterbacher Str.,14,60386,Frankfurt am Main,069 67700947,admin@assistenzhundallianz.org,http://www.assistenzhundallianz.org
Alltagsdrogenberatung - Rödermark e.V.,Heitkämperstr.,11,63322,Rödermark,06074 96725,ADBS-Roedermark@gmx.de,
Altkönig-Stift eG,Feldbergstr.,13-15,61476,Kronberg,06173 310,info@altkoenig-stift.de,http://www.altkoenig-stift.de
Alzheimer Gesellschaft Main-Kinzig e.V.,Schloßbergstr.,7,61130,Nidderau-Windecken,06462 7289,gregor@alzheimer-mkk.de,http://www.alzheimer-mkk.de
Alzheimer Gesellschaft Mittelhessen e.V.,Geiersberg,15,35578,Wetzlar,06441 43742,info@alzheimer-gesellschaft-mittelhessen.de,http://www.alzheimer-gesellschaft-mittelhessen.de/
Alzheimer Gesellschaft Wiesbaden e.V.,Rheingaustr.,114,65203,Wiesbaden,0611 6029881,info@alzheimer-wiesbaden.de,http://www.alzheimer-wiesbaden.de
Ambulante Dienste Nordhessen gemeinnützige GmbH,Heckerswiesenstr.,4,34121,Kassel,0561 928829-0,adn@lichtenau-ev.de,
Ambulante Kranken- und Sozialpflege e.V.,Prinz-Christians-Weg,7,64287,Darmstadt,06151 41980,ambulante-darmstadt@t-online.de,
Angehörigengruppe Mittelhessen e.V. c/o Zentrum für Psychiatrie der Uni-Klinik,Am Steg,22,35392,Gießen,0151 20777730 AB/Rückruf,kontakt@angehoerige-mittelhessen.de,http://www.angehoerige-mittelhessen.de/
Angekommen Wiesbaden e.V.,Sooderstr.,47,65193,Wiesbaden,,finanzen@angekommen-wiesbaden.de,www.angekommen-wiesbaden.de
Anna-Freud-Institut Frankfurt e.V.,Myliusstraße,20,60323,Frankfurt am Main,069 721445,sekretariat@ikjp.de,http://www.ikjp.de/
Arbeit und Bildung e.V.,Krummbogen,3,35039,Marburg,06421 96360,info@arbeit-und-bildung.de,http://www.arbeit-und-bildung.de/
Arbeiter-Samariter-Bund Gesellschaft für soziale Einrichtungen Hessen mbH,Grüner Weg,16-18,34117,Kassel,0561 208660 0,info@asb-gse-hessen.de,http://www.asb-gse-hessen.de
Arbeiter-Samariter-Bund Landesverband Hessen e. V.,Feuerwehrstr.,5,60435,Frankfurt,069 54840440,mail@asb-hessen.de,http://www.asb-hessen.de
Arbeiter-Samariter-Bund Lehrerkooperative Bildung und Kommunikation gemeinnützige Gesellschaft mbH,Kasseler Str.,1a,60486,Frankfurt am Main,069 9706360,info@lehrerkooperative.de,http://www.lehrerkooperative.de
Arbeiter-Samariter-Bund Wohnen und Pflege Bad Emstal GmbH (ASB Wohnen und Pflege Bad Emstal GmbH),Tränkeweg,15,34308,Bad Emstal,05624 9988,info-emstal@asb-wohnen-pflege.de,http://www.asb-wohnen-pflege.de
Arbeiter-Samariter-Bund Wohnen und Pflege Karben GmbH (ASB Wohnen und Pflege Karben GmbH),Ramonville-Str.,27,61184,Karben,06039 93740,info-karben@asb-wohnen-pflege.de,http://www.asb-wohnen-pflege.de
Arbeiter-Samariter-Bund Wohnen und Pflege Lohfelden GmbH (ASB Wohnen und Pflege Lohfelden GmbH),Quellenweg,60,34253,Lohfelden,0561 511890,info@asb-wohnen-pflege.de,http://www.asb-wohnen-pflege.de
Arbeitsgemeinschaft gegen Suchtgefahren e.V.,Pfingstbrunnenstr.,3,65824,Schwalbach,06196 23059,hans-anton.kilb@arcor.de,
Arbeitsgemeinschaft Schelmengraben e.V.,Hans-Böckler-Str.,5-7,65199,Wiesbaden,0611 4114710,info@ag-schelmengraben.de,
Arbeitsgemeinschaft Spina bifida und Hydrocephalus  e.V. Selbsthilfegruppe Darmstadt,Weimarer Str.,13,64807,Dieburg,06071 25701,asbh-darmstadt@gmx.de,http://www.asbh-darmstadt.de/
Arbeitsgemeischaft zur Förderung der Gehörlosen in Wetzlar und Lahn- Dill-Kreis e.V.,Hainstr.,8a,35576,Wetzlar,,argewetzlar@t-online.de,
Arbeitskreis Alkohol in der Alltagswelt A.i.d.A. e.V.,Am Jungfernborn,4,61130,Nidderau,06187 908423,info@aida-selbsthilfe.de,http://www.aida-selbsthilfe.de
Arbeitskreis Gemeindenahe Gesundheitsversorgung (AKGG) e.V.,Rotenburgerstr.,17,34212,Melsungen,05661 705649,malte.kummer@akgg.de,http://www.akgg.de/akgg_e_v.php
Arbeitskreis gemeindenahe Gesundheitsversorgung -AKGG- GmbH,Weißenburgstr.,7,34117,Kassel,0561 816440,verwaltung@akgg.de,http://www.akgg.de/
Arbeitskreis Jugend und Gesellschaft e.V. - Jugendberatungsstellen und Wohngemeinschaften im Landkreis Bergstrasse -,Darmstädter Str.,151,64625,Bensheim-Auerbach,06251 73970,team@maedchenwohngruppe.de,
Arbeitskreis Soziale Brennpunkte e.V.,Ginseldorfer Weg,50,35039,Marburg,06421 690020,mail@AKSB-Marburg.de,http://www.AKSB-Marburg.de
Arbeitsloseninitiative im Lahn-Dill-Kreis - WALI e. V.,Bahnhofstr.,11,35576,Wetzlar,06441 44048,info@wali-wetzlar.de,
arbeitsoffen - Verein zur Förderung der Zusammenarbeit e.V.,Wingertstr.,22,60316,Frankfurt,,arbeitsoffen@douma.de,
Arbeitstherapeutischer Verein e.V.,Bosestr.,9c,34121,Kassel,0561 932770,atv@werkhof-am-park.de,http://www.werkhof-am-park.de
Ärztliche Suchthilfe Fulda gemeinnützige GmbH,Heinrichstr.,60,36043,Fulda,0661 3801713,psb@suchthilfe-fulda.de,http://www.suchthilfe-fulda.de
ASB Erasmus Frankfurter Stadtschule Grundschule gGmbH,Sonnemannstraße,9-11,60314,Frankfurt am Main,069-907436 40,info@erasmus-schule.eu,http://www.erasmus-schule.eu
ATB Autismus Therapie- und Beratungszentrum gemeinnützige GmbH,Kölnische Str.,43,34117,Kassel,0561 33430,dallmann@autismus-kassel.de,
Atemzeit e.V.,Kuhweg,6,61200,Wölfersheim,06036 432890,info@atemzeit.org,www.atemzeit.org
Atmaseva e.V.,Vogelsbergstraße,14,34131,Kassel,0561 98123307,info@atmaseva.de,http://www.atmaseva.de
AurA - Sozialeinrichtung gemeinnützige Gesellschaft zur Förderung Aktiven und rüstigen Alterns mbH,Cappeler Str.,72,35039,Marburg/Lahn,06421 1750700,d.loock-wirth@aura-ggmbh.de,http://www.aura-ggmbh.de
Aurora e.V.,Postfach,1105,35001,Marburg,06421 166640,info@aurora-verein.de,http://www.aurora-verein.de
Ausblick e.V. Förderverein der JVA Weiterstadt,Carl-Orff-Ring,26,63110,Rodgau,06106 666510,vorsitzender@ausblickweiterstadt.de,http://www.ausblickweiterstadt.de/
"autismus Mittelhessen e.V. - Regionalverband zur Förderung, Beratung und Begleitung von Menschen mit Autismus",Postfach,1169,35416,Buseck,06441 3813528,info@autismus-mittelhessen.de,http://www.autismus-mittelhessen.de
Autismus Nordhessen e.V. Regionalverband zur Förderung von Menschen mit Autismus,Werrastraße,5,34582,Borken,05682 2819,Horst.Wischek@t-online.de,
Autismus Rhein-Main e.V. Regionalverband zur Förderung vonMenschen mit Autismus,Sonnemannstraße,3,60314,Frankfurt am Main,069 7894661,info@autismus-rhein-main.de,http://www.autismus-rhein-main.de
AVICENNA - Institut für Bildungs- und Gesundheitswesen e.V.,Adalbertstr.,26,60486,Frankfurt,069 71712874,info@avicenna-ev.de,www.avicenna-integration.de
BAFF-Frauen-Kooperation gemeinnützige GmbH,Alsfelder Str.,9,64289,Darmstadt,06151 669720,m.otte@baff-darmstadt.de,http://www.baff-darmstadt.de
"BASIS e.V. Beratung, Arbeit, Jugend und Kultur",Heddernheimer Landstr.,145,60439,Frankfurt,069 623451,u.gottschalk@basis-ev.eu,http://www.basis-ev.eu/
Begegnungszentrum Selbsthilfegruppen Main-Kinzig e.V.,Breslauer Str.,19,63450,Hanau,06181 255500,team@selbsthilfekontaktstelle.de,http://www.selbsthilfekontaktstelle.de/
Behinderten-Werk Main-Kinzig e.V.,Vor der Kaserne,6,63571,Gelnhausen,06051 92180,info@bwmk.de,http://www.bwmk.de
Behindertenhilfe in Stadt und Kreis Offenbach e.V.,Ludwigstraße,136,63067,Offenbach,069 809096912,j.grosser@behindertenhilfe-offenbach.de,http://www.behindertenhilfe-offenbach.de
BENGI e.V. - Interkultureller Lern- und Begegnungsort für Frauen,Die Freiheit,14,34117,Kassel,0561 50958,bengi-ks@t-online.de,http://www.bengi-ks.de
berami berufliche Integration e.V.,Nibelungenplatz,3,60318,Frankfurt,069 9130100,kontakt@berami.de,http://www.berami.de/
Beratungsstelle Kassel für Bewußte Elternschaft e.V.,Holländische Str.,198,34127,Kassel,0561 895377,info@bbe-kassel.de,http://www.bbe-kassel.de
Betreutes Wohnen Darmstadt e.V,Grafenstraße,31,64283,Darmstadt,06151 3972777,bwd@bwdev.de,
Betreuungsverein e.V. im VdK Lahn-Dill,Hohe Str.,700 Nr. 6,35745,Herborn,02772 9230955,betreuungsverein.lahn-dill@vdk.de,http://www.vdk.de/betreuungsverein-hessen
Betreuungsverein Friedberg e.V.,Kleine Klostergasse,16,61169,Friedberg,06031 18633,info@betreuungsverein-friedberg.de,http://www.betreuungsverein-friedberg.de
Betreuungsverein Herzbergschule Roth e.V.,Gartenstr.,10,63571,Gelnhausen-Roth,06051/5184,Herzbergschule-Betreuungsverein@web.de,
Betreuungsverein Main-Kinzig e.V.,Am Altenzentrum,,63517,Rodenbach,06184 54715,info@betreuungsverein-mk.de,http://www.betreuungsverein-mk.de/
Bewegen - Spielen - Lernen Verein für psychomotorische Entwicklungsförderung e.V.,Frankfurter Str.,92,34121,Kassel,0561 26265,bsl@bsl-ks.de,http://www.bsl-ks.de/
Bewohnernetzwerk für Soziale Fragen e. V.,Damaschkeweg,96,35039,Marburg,O6421 44122,mail@bsf-richtsberg.de,http://www.bsf-richtsberg.de/
Bezirksverein der Kehlkopflosen e.V.,Feldbergstr.,75,65779,Kelkheim,,w.lotz@gmx.net,http://www.kehlkopflose-frankfurt.de
Bezirksverein der Kehlkopflosen Osthessen e.V.,Am Bünberg,20,36179,Bebra,06622 1753,gmgustavus@t-online.de,
Bezirksverein der Kehlkopfoperierten Kassel-Nordhessen e.V. Mitglied im Bundesverband der Kehlkopfoperierten e...,Breslauer Str.,14,36110,Schlitz,06642 6870,,
BHZ Roßdorf Soziale Dienste gGmbH,Dieburger Str.,77,64380,Roßdorf,06154 69960,info@bhz-rossdorf.de,http://www.bhz-rossdorf.de
BIKU Bildung und Kultur gemeinnützige GmbH,Hanauer Landstr.,182 A,60314,Frankfurt am Main,069 94592084,edison@biku.eu,
Bildungs- und Begegnungsstätte Mütterzentrum e.V.,Gallasiniring,8,36043,Fulda,0661 8050,muetterzentrum-fulda@gmx.de,http://muetze-fulda.de/
Bildungsverein Kreidekreis e.V.,Agnes-Hueninger-Str.,12,36041,Fulda,0661 78450,bvkk@gmx.de,http://www.kreidekreis-fulda.de/
BILLABONG - Familienzentrum Riedberg e.V.,Friedrich-Dessauer-Str.,4-6,60438,Frankfurt am Main,069 98957795,info@billabong-family.de,http://www.billabong-family.de
Bio-Garten Flechtdorf GmbH,Am Stege,4,34497,Korbach,05631 50060,info@bio-garten-flechtdorf.de,http://www.bio-garten-flechtdorf.de
Biografie und Erinnerung e.V.,Völklinger Weg,23 A,60529,Frankfurt,,,www.biografiearbeit-frankfurt.com
Blinden- und Sehbehindertenbund in Hessen e.V. Landesgeschäftsstelle,Börsenstraße,14,60313,Frankfurt,069 1505966,info@bsbh.org,http://www.bsbh.org/
Borreliose und FSME Bund Deutschland e.V. Patientenorganisation Bundesverband,c/o Frau Jutta Hecker Postfach,1205,64834,Münster bei Dieburg,06071 497397,info@borreliose-bund.de,http://www.borreliose-bund.de
Brasilianische Fraueninitiative gegen Diskriminierung und Gewalt e.V. (IMBRADIVA),Adalbertstr.,36a,60486,Frankfurt,069 97264269,mail@imbradiva.org,http://www.imbradiva.org/
Brüder Grimm Bildungszentrum e.V.,Langstr,60,63450,Hanau,06181 12506,bruedergrimm.integrationskurse@gmail.com,
Buchenhof e.V. Wohnform für Menschen mit geistiger Behinderung,Winterkastener Weg,10,64678,Lindenfels-Kolmbach,06254 833,buchenhof@gmx.de,
Bundesverband der Migrantinnen in Deutschland e.V.,Franz-Werfel-Str.,37,60431,Frankfurt,0177 2757251,info@migrantinnen.net,http://www.migrantinnen.net
Bundesvereinigung der Eltern blinder und sehbehinderter Kinder e.V.,c/o Herrn Fred Brühmann Rohnsweg,13a,37085,Göttingen,0177 6197871,fred.bruehmann@bebsk.de,http://www.bebsk.de
Buntspechte Cappel e.V.,Im Grund,9,35043,Marburg,06421 45124,Vorstand@Buntspechte-Cappel.de,http://www.buntspechte-cappel.de
Bürger für Bürger e. V.,Hauptstr.,51,36355,Grebenhain,06644 962799,info@bfb-generationenhilfe. de,
Bürger- und Seniorenhilfe Heusenstamm e.V.,Kirchstr.,24,63150,Heusenstamm,06104 1711,sh.heusenstamm@t-online.de,
Bürger- und Seniorenhilfe Mühlheim e.V.,Goethestr.,35,63165,Mühlheim,06108 82052,buero@bshm.de,http://www.seniorenhilfe-muehlheim.de/
"Bürgerhilfe ""Sontraer Land"" e.V.",Niederstadt,32,36205,Sontra,05653 265657,bp@persch-die-kueche.de,http://www.buergerhilfe-sontra.de/
Bürgerhilfe Rodgau e.V.,Am Welschenfeld,6,63776,Mömbris,06029 1404,shinkel@gmx.de,http://www.buergerhilfe-rodgau.de/
Bürgerhilfe Sozialpsychiatrie Frankfurt am Main e.V.,Holbeinstraße,25-27,60596,Frankfurt,069 96201869,gst@bsf-frankfurt.de,http://www.bsf-frankfurt.de
Bürgerhilfe Wetter e.V.,Amönauer Str.,14,35083,Wetter,,info@buergerhilfe-wetter.de,www.buergerhilfe-wetter.de
Bürgerhospital und Clementine Kinderhospital gemeinnützige GmbH,Nibelungenallee,37-41,60318,Frankfurt am Main,069 1500 470,info@buergerhospital-ffm.de,http://www.buergerhospital-ffm.de
Bürgerinstitut e.V.,Oberlindau,20,60323,Frankfurt,069 9720170,becher@buergerinstitut.de,http://www.buergerinstitut-ffm.de/
Bürgerverein Soziales Erlensee e.V.,Hauptstr.,39,63526,Erlensee,06183 807835,buero@buergerverein-erlensee.d,http://www.buergerverein-erlensee.de
BVZ GmbH,Humboldtstr.,12,60318,Frankfurt,069 915010715,tom.wieland@bvz-frankfurt.de,www.bvz-frankfurt.de
Cafeteria Freiherr-vom-Stein Schule e. V.,Bergstr.,42-44,65817,Eppstein,06198 5926-0,cafta@gmx.net,
"CALLA, VEREIN zur FÖRDERUNG der LEBENSQUALITÄT von FRAUEN mit SUCHTPROBLEMEN e.V.",Mörfelder Landstr.,6-8,60598,Frankfurt,069 621254,info@calla-ev.de,http://www.calla-ev.de
CASA e.V. Centrum für aktivierende Stadtteilarbeit,Holzstr.,24,65197,Wiesbaden,0611 429356,info@casa-wiesbaden.de,http://www.casa-wiesbaden.de
CBF Darmstadt Club Behinderter und ihrer Freunde in Darmstadt und Umgebung e.V.,Pallaswiesenstr.,123 a,64293,Darmstadt,06151 81220,info@cbf-darmstadt.de,http://www.cbf-da.de/
CBF Hessen - LAG hessischer Clubs Behinderter und ihrer Freunde e.V. c/o CBF Dreieich,Pallaswiesenstraße,123a,64293,Darmstadt,06151 812224,kontakt@cbf-hessen.de,http://www.cbf-hessen.de
CF-Selbsthilfe Frankfurt e.V.,Philosophenweg,13,61350,Bad Homburg,06172 898121,thomas.steinbauer@cf-selbsthilfe.de,http://www.cf-selbsthilfe.de/
Christliches Sozialwerk Harreshausen e.V.,Am Obertor,40,64832,Babenhausen,06073 72860,info@cswh.de,http://www.cswh.de/
Christophorus-Schule Mühltal e.V.,Rheinstr.,46,64367,Mühltal,06151 55088,info@christophorus-schule-muehltal.de,http://www.christophorus-schule-muehltal.de/
Club Behinderte und ihre Freunde Dreieich e.V.,Maria-Hall-Str.,36,63303,Dreieich,06103 68159,cbf-dreieich@t-online.de,http://www.cbf-dreieich.de/
"Connecta, Das Frauennetzwerk e.V.",Bergweg,61,34125,Kassel,0561 15460,martin.barrierefrei@web.de,http://www.frauennetzwerk-connecta.de/
Cornelius-Helferich-Stiftung,Ulmenstr.,23,34117,Kassel,0561 784880,info@helferich-stiftung.de,http://www.cornelius-helferich-stiftung.de
Daheim Arbeitsgemeinschaft Ambulante Alten- und Krankenpflege e.V.,Alte Kasseler Str.,43,35039,Marburg,06421 681171,daheimmr@aol.com,
"DAKITS Dachverband freier Kindertages- einrichtungen in Krabbelgruppen, Kinderläden, Kindergärten, Horts und Spielkreisen e...",Motzstr.,4,34117,Kassel,0561 719378,info@Dakits.de,http://www.dakits.de/
Darmstädter Forum für psychoanalytische Heilpädagogik und Soziale Arbeit e.V.,Wilhelm-Leuschner-Str.,255,64347,Griesheim,06155 604212,geschaeftsstelle@darmstaedter-forum.de,
Darmstädter Pflege- und Sozialdienst e.V.,Hügelstr.,47,64283,Darmstadt,06151 177460,wolfgangfranz@dpsd.de,http://www.dpsd.de/
Das Deutsche Schülerstipendium Stiftungs- Gesellschaft mit beschränkter Haftung,Lehrer-Wirth-Str.,4,81829,München,089 9544526 20,info@rolandbergerstiftung.org,
Daumer Haus gGmbH,Kladower Damm,221 / Haus 24,14089,Berlin,030 36431373,info@daumer-haus.de,http://www.daumer-haus.de
DELPHIN Nachhilfe & Sprachkurse e.V.,Schwalbacher Str.,34,65183,Wiesbaden,0611 3603730,info@delphin-nachhilfe.de,www.delphin-nachhilfe.de
Demenz-Forum-Darmstadt e.V.,Heinheimer Straße,41,64289,Darmstadt,06151 967996,information@demenzforum-darmstadt.de,http://www.demenzforumdarmstadt.de/
der hof Niederursel e.V.,Alt Niederursel,51,60439,Frankfurt,069 95775639,hof-verein@der-hof.de,http://www.der-hof.de/
Der Pflegeverein e.V.,Borngasse,9,64319,Pfungstadt,06157 930122,joachim.pfeiffer@pflegeverein.de,http://www.pflegeverein.de/
"Deutsch-Israelischer Verein für Rehabilitation und soziale Eingliederung für Behinderte und von Behinderung bedrohte Menschen, Gießen e...",Grüninger Weg,26,35415,Pohlheim,06404 804240,info@deutsch-israelischer-verein.de,http://www.deutsch-israelischer-verein.de/
"Deutsch-Russisches Integrations- und Bildungswerk ""Spectrum""",Gagernstr.,48,60385,Frankfurt,069 49086727,etsarfin@aol.com,http://www.spectrum-ev.com
Deutsche Blindenstudienanstalt e.V. Bildungs- und Hilfsmittelzentrum für Blinde und Sehbehinderte,Am Schlag,8,35037,Marburg,06421 6060,info@blista.de,http://www.blista.de/
Deutsche Filmkünstlernothilfe,Murnaustr.,6,65189,Wiesbaden,0611 7789110,meister@spio-fsk.de,
Deutsche Gesellschaft für Muskelkranke e.V. Landesgruppe Hessen,Clemens-von-Brentano-Str.,9,65232,Taunusstein,,roland.mischke@dgm.org,http://www.dgm.org
"Deutsche Gesellschaft für soziale Psychiatrie, Landesverband Hessen e.V.",Merianstr.,8,64646,Heppenheim,06252 73348,const.gatterburg@gmail.com,http://www.dgsp-hessen.de
Deutsche Huntington-Hilfe Landesverband Hessen e.V.,Marburger Str.,63b,35043,Marburg,06055 933559,ThomasRauch62@gmx.de,
Deutsche ILCO Landesverband Hessen e.V.,Drosselweg,8,64646,Heppenheim,06251 72209,ilco-hessen-schroeter@t-online.de,
Deutsche Lebens-Rettungs-Gesellschaft Landesverband Hessen e.V.,Uferstr.,2a,65203,Wiesbaden,0611 65501,geschaeftsstelle@lv-hessen.dlrg.de,http://www.hessen.dlrg.de/
Deutsche Multiple Sklerose Gesellschaft Landesverband Hessen e.V.,Wittelsbacher Allee,86,60385,Frankfurt,069 4058980,dmsg@dmsg-hessen.de,http://www.dmsg-hessen.de
Deutsche Unfall- und Katastrophenopfer Hilfe e.V.,Birkenweg,3,63485,Bruchköbel,069 24246328,jmaspfuhl@aol.com,http://www.duk-hilfe.org/
"Deutsche Vereinigung Morbus Bechterew, Landesverband Hessen e.V.",c/o Herrn Franz-Josef Kaufhold Zum Sürendahl,17,59964,Medebach-Düdinghausen,05632 1369,dvmb-hessen@t-online.de,http://www.dvmb-hessen.de/
Deutscher Frauenbund für alkoholfreie Kultur Landesverband e.V.,Nieuwpoorter Straße,121,63110,Rodgau,06192 9776281,lv-hessen@deutscher-frauenbund.de,http://www.deutscher-frauenbund.de
Deutscher Kinderschutzbund Orts- und Kreisverband Gießen e.V.,Marburger Str.,54,35396,Gießen,0641 49550312,geschaeftsstelle@kinderschutzbund-giessen.de,http://www.kinderschutzbund-giessen.de
Deutscher Kinderschutzbund Ortsverband Kassel e.V.,Wolfhager Str.,170,34127,Kassel,0561 68226,vorstand@kinderschutzbund-kassel.de,http://www.kinderschutzbund-kassel.de/
Deutscher Kinderschutzbund Ortsverband Offenbach (Main) e.V.,Rathenaustr.,38,63067,Offenbach,069 86781239,dksb-offenbach@gmx.de,
Deutscher Kinderschutzbund Ortsverband Rödermark e.V.,Am Schellbusch,1,63322,Rödermark,06074 68966,dksb_roedermark@web.de,http://www.kinderschutzbund-rodgau-roedermark.de/
Deutscher Kinderschutzbund Ortsverband Westkreis Offenbach e.V.,Wiesenstr.,5,63225,Langen,06103 25543,info@kinderschutzbund-wko.de,http://www.kinderschutzbund-wko.de/
Deutscher Kinderschutzbund Ortsverband Wiesbaden e.V.,Kaiser-Friedrich-Ring,5,65185,Wiesbaden,0611 522846,info@kinderschutzbund-wi.de,http://www.kinderschutzbund-wi.de/
Deutscher Kinderschutzbund Regionalverband Rheingau e.V.,Winkeler Straße,46,65366,Geisenheim,06722 5515,dksb-rheingau@t-online.de,http://www.kinderschutzbund-rheingau.de/
Deutscher Kinderschutzbund (DKSB) Bezirksverband Frankfurt e.V.,Comeniusstr.,37,60389,Frankfurt,069 97090110,verwaltung@kinderschutzbund-frankfurt.de,http://www.kinderschutzbund-frankfurt.de/
Deutscher Kinderschutzbund (DKSB) Landesverband Hessen e.V.,Gebrüder-Lang-Str.,7,61169,Friedberg,06031 18733,info@kinderschutzbund-hessen.de,http://www.kinderschutzbund-hessen.de/
Deutscher Kinderschutzbund e.V. Bezirksverband Darmstadt,Holzhofallee,15,64295,Darmstadt,06151 36041-50,info@Kinderschutzbund-Darmstadt.de,http://www.kinderschutzbund-darmstadt.de
Deutscher Kinderschutzbund e.V. Ortsverband Frankenberg,Friedrich-Trost-Str.,4,35066,Frankenberg,06451 210065,kinderschutzbund-fkb@t-online.de,
Deutscher Kinderschutzbund e.V. Ortsverband Rodgau,Marburger Str.,4a,63110,Rodgau,06106 17079,vorstand-dksb-rodgau@gmx.de,
Deutscher Kinderschutzbund Kreisverband Lahn-Dill/Wetzlar e.V.,Niedergirmeser Weg,1,35576,Wetzlar,06441 33666,info@kinderschutzbund-wetzlar.de,http://www.kinderschutzbund-wetzlar.de/
Deutscher Kinderschutzbund Kreisverband Hochtaunus e.V.,Hindenburgring,44,61348,Bad Homburg,06172 20044,dksb.hochtaunus@t-online.de,http://www.dksb-hochtaunus.de/
