FEDERAL GOV EMPLOYEES CO-OP,,,,,,
AL BEED TRADING  (L.L.C),suresh12@emirates.net.ae,4-2663947,+971-4-2695225,,,
AL DARMKY CONTRACTING AGRICULTURAL MATERILALS,,4-0,,,,
AL DHABBI GENERAL TRADING LLC,cr7tex@gmail.com,043540899,+971-4-3540898,,,
AL DHAFRA FINANCIAL BROKER (L.L.C),info@aber.ae,4-2953385,+971-4-4345500,,,
AL EMAD GENERAL TRADING,alemadgt@eim.ae,042837505,042837506,,,
AL FAHAD STATIONERY,alfahadstationery@gmail.com,055-4608619,+971-4-2297839,,,
AL FAIHA ELECTRONICS TRADING L L C,,042291830,042291831,,,
AL FALAH CONTRACTING (L.L.C),,4-2679773,+971-4-2671872,,,
AL HABTOOR MOTORS CO. (L.L.C.) - BRANCH,nassib@habtoormotors.com,04-6084000,+971-4-2692545,,,
AL HOSSAM CARGO AND CLEARANCE,alhussam@emirates.net.ae,4-2253584,+971-4-2253584,,,
AL INARA BUILDING MATERIALS TRADING,inarabmt@emirates.net.ae,4-3966757,+971-4-3960944,,,
AL ISHRAK CONTRACTING CO (L.L.C),aaskck@emirates.net.ae,4-3416841,+971-4-3416842,,,
AL JOUDI FOODFSTUFF TRADING (L.L.C.),,,,,,
AL JOWADER TRADING (L.L.C),aljowadertrd@yahoo.com,4-2267323,,,,
AL MAHDI EQUIPMENT & INDUSTRIAL SUPPLIES (L.L.C.),,4-2389623,+971-4-2507866,,,
AL MAIDAN BUILDING MATERIALS TRADING,,4-3534556,+971-4-3454503,,,
AL MANAL FRESH FOODS (L.L.C),legal@almaya.ae,4-8230000,4-8230111,,,
AL MAZROUI TRADING & GENERAL SERVIES L L C - DUBAI BRANCH,,,,,,
AL MAZROUI TRADING & GENERAL SERVIES L L C L.L.C DUBAI BRANCH,,,,,,
AL MESBAR STUDIES & RESERCH CENTER,,,,,,
AL MISHKAT AL SHARQ GENERAL TRADING (L.L.C),mushkaht@emirates.net.ae,4-3370993,+971-4-3370993,,,
AL MOOSA SONS GENERAL TRADING (L.L.C.),,4-3962970,,,,
AL MUSBAH ALUMINUM TRADING (L.L.C),almatco@eim.ae,4-2652300,+971-4-2697744,,,
AL NABOODA AUTO MOBILES (L.L.C) (BRANCH),,4-3386999,+971-4-3388889,,,
AL NASHER GENERAL TRADING CO (L.L.C),dubai@alheelam.com,04-2211115,04-2210040,www.alheelam.com,,
AL QOOZ ULTIMATE AUTO ACCESSORIES TRADING (L.L.C),uasp@emirates.net.ae,4-3412161,+971-4-3414570,,,
AL RAHBA MENS GARMENT TAILORING,,4-2727132,,,,
AL RAS BUILDING MATERIAL SANITARYWARE & ELECTRICAL CO (L.L.C),alras77@emirates.net.ae,4-3523215,+971-4-3523202,,,
AL RASA PEST CONTROL & BLDG CLEANING SERVICES,,,,,,
AL RAZOOQI RESTAURANT L.L.C,alrazooqirestuarant@gmail.com,043312070,,,,
AL SAFFAR GENRAL LAND TRANSPORT  EST,kh.alsaffar@hotmail.com,050-4511498,+971-4-2679898,,,
AL SAFINA AL AIMAH RESTAURANT,,,+971-4-3937123,,,
AL SERB TRADING CO (L.L.C),alserb1@emirates.net.ae,50-4557182,+971-4-3559638,,,
AL SHARIF REAL ESTATE(LLC),,,,,,
AL SHORFA  GENERAL TRADING CO. (L.L.C.),shorfa@emirates.net.ae,4-2255604,+971-4-2354545,,,
AL TAKATUF GENRAL TRADING (L.L.C),hasan_khursheed@yahoo.com,4-2729901,+971-4-2355983,,,
AL USAIMI TRADING EST,tewas420@hotmail.com,4-2660381,,,,
AL WAED CONTRACTING (L.L.C.),,4-2582670,+971-4-3394954,,,
AL WAKEEL GENERAL LAND TRANSPORT (L.L.C),alwakeeltp@yahoo.com,4-3204998,+971-?04-4542508,,,
AL WIFAQ GENERAL TRADING (L.L.C),jahanzeb@alwifaqg.ae,+97165680777,0097165689441,,,
AL YOUSUF INDUSTRIAL (L.L.C),yamboats@alyousuf.com,50-6446430,+971-4-3392377,www.aym.ae,,
ALFIRDOUS  MANAGEMENT SERVICES(L L C),bzg@binzayed.ae,4-2623237,+971-4-3976262,,,
ALLAF TRADING (L.L.C),abdullahallaf@yahoo.com,50-7159135,,,,
ALLIALI JEWELLERY (L.L.C) BR,,,,,,
ALMAHARA CARPENTRY,,4-2661522,,,,
ALPHA STAR SHIPPING (L.L.C),steven@alphastarshipping.ae,04-2699820,04-2699830,www.alphastarshipping.ae,,
ALRAIS TRAVEL (L.LC.) (BR),,4-3520100,,,,
ALRAWDA BUILDING MATERIALS TRADING,hash.dubai@yahoo.com,04-2650544,,,,
ALUK MIDDLE EAST DMCC,contact.mideast@aluk.com,044356606,,,,
ALYAQOOT ALAHMER HARDWARES L.L.C,yaqoot53@eim.ae,4-2228655,+971-4-2228651,,,
AMBIENT MIDDLE EAST (L.L.C),thomas@ambientme.com,4-2208535,+971-4-2206535,,,
ANGLO EAST POST TENSION (L.L.C),aept@eim.ae,4-4312323,+971-(971) 443-1232 x1,,,
ANISHA JEWELLERS (L.LC),virelc@anishajewellers.com,4-2268494,+971-4-2259494,www.anishajewllers.com,,
APEX AEROSPACE FZE,,,,,,
APOLLO GULF GENERAL TRADING ( L L C ) - BR,appolo@emirates.net.ae,,+971-4-2353172,,,
ARABESCO ART (L.L.C),,4-2844418,+971-4-2693181,,,
ASAS EMIRATE GENERAL TRADING (L.L.C),,,+971-4-2234887,,,
ASOOD ALBARARI GENERAL TRADING L.L.C,,,,,,
ASSOCIATED CONCRETE PRODUCTS (DUBAI BR),,+971-4-5617781,+971-4-5617781,,,
ATUL JEWELLERY (L.L.C),,4-2844409,,,,
AVA  READY MADE TRADING LLC,,,+971-4-2734615,,,
AXIOM TELECOM (L.L.C),admin@albannai.com,4-6558555,+971-4-3315888,,,
AZAR NIA TRADING (L.L.C),,4-6256330,055-7797745,,,
BADR BUMELHA CONTRACTING (L.L.C),bbc786@emirates.net.ae,4-2259136,+971-4-3201120,,,
BAJIO GARMENTS TRADING (L.L.C),,,+971-4-2677206,,,
BANGARU USED HAEVY EQUIPMENT TRADING (L.L.C),bet2014@yahoo.com,043979995,,,,
BARAKAT OPTICAL (BR),operations@barakatoptical.ae,4-2325650,+971-4-2325652,,,
BARAKAT OPTICAL (BR),info@barakatoptical.ae,4-2886237,+971-4-2888431,,,
BARAN  EMIRATES CO (L.L.C),baranuae@emirates.net.ae,4-2737445,+971-?04-2730275,,,
BASHAR TRADING CO. (L.L.C.),basharte@emirates.net.ae,4-2242197,+971-(497) 122-3104 x6,,,
BASIT TECHNICAL SERVICES (L.L.C),,4-3454540,+971-4-2503838,,,
BEST WAY ELECTRONICS L L C,singhinl@emirates.net.ae,4-5347525,+971-4-2247161,,,
BETTER LIFE PHARMACY,lathav328@gmail.com,4-3414626,+971-4-3414625,,,
BIN DASMAL TRAVELS (L.L.C),bdsf@emirates.net.ae,4-2820282,,,,
BIZDOM GENERAL TRADING CO (L.L.C),nam@bizdom.bz,4-5585175,+971-4-2584172,www.bizdom.bz,,
BLACK DIAMOND PETROLEUM & DERIVATIVES TRADING (BR OF FUTURE CITY INVESTMENT L.L.C),,,,,,
BLACK GOLD COAL REFILLING & PACKING  (L.L.C),blackgoldllc@gmail.com,4-2675474,+971-4-2675474,,,
BRANDSCAPE ADVERTISING (L.L.C.),info@brandscape.ae,4-3416755,4-3416744,,,
BRITISH STAR ROADWAYS BUS RENTAL (L.L.C),info@britishroadways.com,4-2588366,+971-4-2588367,www.britishroadways.com,,
BURAQ STAR TRADING CO (L.L.C),sales@buraqstar.com,042248520,042248530,,,
BURJ ALSHANDAGHA TRADING (L.LC),burjal@emirates.net.ae,4-2258187,+971-4-2351147,,,
BUSINESS VILLAGE GENERAL TRADING (L.L.C),,4-2283554,+971-4-2283554,,,
CAESAR  SUPERMARKET   L L C,caesartrading@hotmail.com,4-3434311,+971-4-3444094,,,
CARTOON FASHION  TRADING (L.L.C),ayeganeh@emirates.net.ae,50-6248067,+971-4-2215513,,,
CASTLES PLAZA REAL ESTATE,info@castlesplaza.com,4-3551131,+971-4-3553487,,,
CHAMPION NEON (L.L.C.),adv@champneon.ae,042856595,042856594,www.championneon.co.ae,,
CHINA CHEN CHEN TEXTILES CO. (L.L.C),,4-2727168,+971-4-2782345,,,
CITY SPACE FASHION (L.L.C),,50-8563168,+971-4-2347791,,,
CLIMA GULF  TRADING COMPANY (L.L.C),fa@breezairme.com,04-3409047,+971-4-3409047,,,
COMET TRADING CO. (L.L.C.),comet98@emirates.net.ae,4-4574310,+971-4-3931690,,,
CONFIDENT CONTRACTING CO. (L.L.C.),admin.dubai@confident-group.com,4-7243034,+971-4-3979276,,,
CONSOLIDATED TURBINE SERVICES DMCC,,04-3472211,,,,
CORUNDU ARTS TRADING,,4-2651158,+971-4-2651158,,,
CREEK PASSENGER TRANSPORT (L.L.C),cptibm@emirates.net.ae,50-6547227,+971-4-2576611,,,
CUBIC GIFTS TRADING,der.abubakr@yahoo.com,4-6791422,,,,
D FAB INTERNATIONAL FZE,ubuudinur@gamil.com,971509920625,,,,
DANA REAL ESTATE EST.,,4-2688866,+971-4-2658786,,,
DANAT AL SULTAN GENERAL TRADING (L.L.C),,4-2733307,+971-4-2655553,,,
DAWOOD MOOSA BUILDING MATERIALS TRADING CO. (L.L.C.),,4-2264607,,,,
DEEBAJ ALKHABISI PLAZA HOTEL APARTMENTS,deebaj@emirates.net.ae,4-4256262,,,,
DEIRA MUSIC CENTRE CO (L.L.C),music_c_dubai@hotmail.com,4-2666552,+971-4-2661113,,,
DEIRA STAR STATIONARY (L.L.C),deirastar_sty@yahoo.com,4-2292391,+971-4-2346495,,,
DEYAAR DEVELOPMENT (P.J.S.C),customercare@deyaar.ae,4-2955844,,www.deuaar.ae,,
DEYAFA SYSTEMS,jennifer.vaz@deyafasystems.com,4-3240066,,,,
DIPLOMAT COMMERCIAL BROKER (L.L.C),,4-2280068,+971-4-2347724,,,
DUBAI ISLAMIC INSURANCE & REINSURANCE COMPANY (AMAN) - (P.J.S.C),,4-3193111,+971-4-3193112,,,
E.T.A STAR INTERNATIONAL (L.L.C),hr@etastarinternational.com,047073738,042964504,,,
EAGLE HOTEL APPARTMENT,,4-2213663,,,,
EASTERN REAL ESTATE,ere@emirates.net.ae,4-6443699,+971-4-3373355,,,
EASTERN RIVERS INTERNATIONAL TRADING  (L.L.C),,4-2351889,+971-4-3512012,,,
EDRIS AL AWADHI REAL ESTATE,adibest@emirates.net.ae,4-2351919,+971-4-2351700,www.edrisgroup.ae,,
EL HASADI GENERAL TRADING L.L.C,,05-4964123,,,,
EMIRATES & GULF CEMENT PRODUCTS (L.L.C),,4-8802420,+971-4-8802040,,,
EMIRATES COASTS SHIPPING (L.L.C),,50-6560063,+971-4-2689936,,,
EMIRATES FAR EAST (L.L.C),,4-2721886,+971-4-2943312,,,
EMIRATES GALLERY (L.L.C),parfubox@emirates.net.ae,4-3978998,+971-(497) 139-6544 x3,,,
EMIRATES TRADING AGENCIES CO. (L.L.C.) - BRANCH,bannay@etaascon.com,,,,,
ENERGY INTERNATIONAL TRADING (L.L.C),,4-3637751,+971-4-3637752,,,
EQUINOX TRADING AGENCY (L.L.C),equinox@emirtaes.net.ae,4-3533456,4-3539126,,,
ESKAAN ELECTROMECHANICAL CONT LLC - DUBAI BRANCH,,+971-?04-2564447,+971-?04-2564449,,,
FACONNABLE ( BR UAE TRADING L.L.C ),rodeo@uaetrading.ae,4-3434000,+971-4-3430001,,,
FAST LINE GENERAL TRANSPORT,,4-3936999,+971-4-3934446,,,
FIRST INSURANCE BROKERS CO. (L.L.C.),firstins@emirates.net.ae,4-6517188,+971-4-2223939,,,
FIVE DIMENSIONS INFORMATION TECHNOLOGY CONSULTING,,4-2688386,+971-4-2688387,,,
FLAMINGO FASHION L.L.C - DUBAI BRANCH,,4-2944244,+971-4-2944200,,,
FONTERRA BRANDS (MIDDLE EAST)( L.L.C),omr.furghal@fonterra.com,4-3388549,+971-4-3392581,,,
FRENY TRADING,freny.co@gmail.com,4-2354216,+971-4-2354217,,,
FUN TIME GENERAL TRADING (L L C),,4-2989027,+971-4-2989027,,,
GALADARI  ICE CREAM CO. LIMITED (L.L.C.) BR,admin.gicc@galadarigroup.com,,+971-?04-971-,,,
GALADARI  ICE CREAM CO. LIMITED (L.L.C.) BR,admin.gicc@galadarigroup.com,,,,,
GALADARI  ICE CREAM CO. LIMITED (L.L.C.) BR,brhr.gicc@galadarigroup.com,4-2857885,+971-4-2857504,,,
GATE BUSINESS INVESTMENT (L.L.C),,4-3213313,,,,
GATEAUX (LLC),sales@gateaux.ae,4-3408840,+971-4-3607367,,,
GENERAL DEVELOPMENT SERVICES (L.L.C)- BR DUBAI,,4-2087620,+971-4-2592220,,,
GHEEWALA HARDWARE TRADING CO (L.L.C),gheewalated@gmail.com,4-2273188,+971-4-3881352,,,
GIO FERRARI READY MADE GARMENTS (L L C),,4-3525403,,,,
GLOBUS TRADING (L.L.C.),globus@emirates.net.ae,4-3380455,+971-4-4534270,,,
GLOW STAR MEDIA SOLUTIONS L L C,ahlitt@emirates.net.ae,4-2732232,+971-4-3962662,,,
GOLDEN CROWN TRANSPORT  BY HEAVY TRUCKS( L.L.C),operations@gcrntrvl.ae,4-2971322,+971-4-2971321,,,
GOLDEN FUTURE GENERAL TRADING (L.L.C),almatngt@eim.ae,50-7979555,+971-4-2958300,,,
GOLDEN SUN ACUPUNCTURE THERAPY CLINIC,,,,,,
GREEN COMMUNITY PHARMACY,gcp@communityhealthonline.com,4-8853636,+971-4-8853737,,,
GULAM  AND  ALMARZOUQI  STATIONERY  TRADING  LLC,,,,,,
GULF PANORAMA  PRINTING CO (L.L.C),sales@gulfpanorama.ae,042858997,042860177,,,
GULF SPORT RACING (LLC),barry.hope@gulf-sport.com,04-4228940,04-4228941,www.gulf-sport.com,,
HAAJI SHIRAK AL PAKISTANI(L.L.C),,4-2972378,,,,
HAJA BUILDING CLEANING SERVICES (L.L.C),,4-6755567,+971-(971) 453-4666 x5,,,
HAPPY FASHION (L.L.C),,4-3353273,+971-4-3353273,,,
HARI_OM  REAL ESTATE,hasilan99@emirates.net.ae,4-4686414,+971-4-2295396,,,
HONG RU INTERNATIONAL TRADING (L.L.C.),,4-2352668,+971-4-2352967,,,
HOT PACK PACKAGING INDUSTRIES L.L.C - DUBAI BRANCH,,,,,,
HOT PACK PACKAGING INDUSTRIES L.L.C - DUBAI BRANCH,,,,,,
HOT PACK PACKAGING INDUSTRIES L.L.C - DUBAI BRANCH,,,,,,
HOT PACK PACKAGING INDUSTRIES L.L.C - DUBAI BRANCH,,,,,,
IMPACT LOGISTICS (L.L.C),illlc@emirates.net.ae,4-2829798,4-2829703,,,
INMA  PLASTICS INDUSTRY (LLC),alowaiss@emirates.net.ae,+9714 8803091,+9714 8803092,,,
INVENT UAE CO (L.L.C),info@inventuae.ae,4-3589989,4-3589980,www.inventuae.ae,,
IVY TRADING (L.L.C),,4-3515070,+971-4-3448266,,,
JAI LOGISTICS(LLC),jaibur@emirates.net.ae,4-3380833,+971-4-3381163,,,
JAWAHER RENT A CAR,,,,,,
JAZIRAT AL OTLAT TRAVELS (L.L.C),,4-2287800,,,,
JEBEL ALQALA  MANAGEMENT SERVICES(L L C),bzg@binzayed.ae,4-2623237,+971-4-3976262,,,
JIBA EXPRESS GENERAL TRADING L.L.C,,4-2354724,,,,
JML (U.A.E) (L.L.C),mail@jml.com.au,4-2859244,+971-4-2858592,,,
JUBAIL PEARL GENERAL TRADING,jptgroup3@jubailpearl.ae,042567455,042567212,,,
KAF INTERNATIONAL FURNISHING (L.L.C.),ka_dubai@yahoo.com,4-3459988,4-3459998,,,
KARAMA CENTRE,hr@sbkrealestate.com,4-3374499,+971-4-3354709,,,
KEILANI CONSTRUCTION CO. (L.L.C),kgroup@emirates.net.ae,4-2675040,+971-4-3469317,,,
KHAWATER GENERAL TRADING,k1111@emirates.net.ae,50-4511116,+971-4-3363358,,,
KOSMO EMIRATES SCAFFOLDING (L.L.C),kosmo1@emirates.net.ae,4-3204878,+971-4-3204879,,,
KOUROSH MEHRAN ELECTRONIC CO (L.L.C.),komehran@gmail.com,4-2282409,+971-4-2282409,,,
KUMAIT GENERAL TRADING (L.L.C),ranjith@kumaitgt.com,4-2662077,+971-4-4316374,,,
LAHEJ & SULTAN GAS DISTRIBUTORS (L.L.C),lahejgas@emirates.net.ae,4-3376686,+971-4-3369814,,,
LASA HOMES REAL ESTATE BROKERS,lasahomes@gmail.com,4-3354903,+971-4-3354902,,,
LASER POINT ELECTRONICS (L.L.C),laserele@eim.ae,4-2293310,+971-4-2293307,,,
LEVANT (L.L.C),,,,,,
LIMON GENERAL TRADING CO. (L.L.C.),limenkenneth@hotmail.com,-4226536,,,,
LONDON OFFSHORE CONSULTANTS L.L.C DUBAI BR.,dubai@loc-group.com,4-3319933,+971-4-3317795,,,
M C I MIDDLE EAST (L.L.C),clifford.fernandes@mci-group.com,4-3415663,+971-4-3116301,,,
M H G HOUSEHOLD APPLIANCES TRADING (L.L.C.),,4-2292737,+971-4-2353810,,,
M M D MOTORS USED CARS TRADING FOR EXPORTS L.L.C,,,,,,
MABANI  REAL ESTATE BROKERS,,,+971-4-2733086,,,
MADINA DEIRA GENERAL TRADING,khelectronics@gmail.com,4-8415435,,,,
MAGNUS INTERIORS (L.L.C),,,+971-4-3233009,,,
MAGUS CONSULTANCY,,,,,,
MAHMAYI OFFICE FURNITURE (L.L.C.),mahmayi@emirates.net.ae,4-2567481,+971-4-2567484,www.mahmayi.com,,
MAJESTIC  EXECUTIVE AVIATION AND LUXURY TRAVEL (L L C),shinoj.kv@ilsme.com,50-6851786,+971-4-3377707,,,
MALABAR SUPERMARKET(LLC) - BR,talalsm@eim.ae,,,,,
MANSOOR CONCRETE BLOCK INDUSTRY (L.L.C.),info@macon_ae.com,50-6588900,+971-4-8801802,www.maconhifan.com,,
MARC JACOBS(BRANCH OF ALLIED ENTERPRISES (L.L.C.),allied.reception@mailmac.net,,+971-4-5632000,,,
MAREB  MANDI RESTAURANT,,4-2727512,,,,
MARINETECH MIDDLE EAST (L.L.C),mmeuae@eim.ae,4-3244051,+971-4-4291352,,,
MARWAN BIN MAJED SHIPPING CO. (L.L.C.),majed@mw-fze.com,043933330,043939997,,,
MASHREQ PHARMACY,faithpharma@yahoo.com,4-2634081,+971-4-2634082,,,
MAXELL INDUSTRIES (L.L.C.),maxell@emirates.net.ae,4-2674463,+971-4-3603604,,,
MCDONALDS (BR),mcdsuae@emirates.net.ae,,+971-4-3215070,,,
MECH MATE (L.L.C),ase@ase.ae,4-2821534,+971-4-2821534,,,
MEDICAL SPECIALISTS CENTER,,,,,,
MEGA REPAIRING MACHINERY EQUIPMENT (L.L.C),megarme@emirates.net.ae,050-6588099,+971-4-8135291,,,
MEHRZAD READY MADE GARMENTS TRADING (L.L.C),,50-5538591,,,,
MEMON REAL ESTATE BROKER (L.L.C),info@memon.ae,4-2688111,+971-4-2626455,,,
MENA REAL ESTATE SOLUTIONS LLC  - DUBAI BRANCH,,,,,,
MERAJ TRADING (L.L.C),sony@intelspacebc.com,4-3218330,,,,
METRO PHARMACY (L.L.C),,4-2959156,+971-4-2958895,,,
MIDDLE EAST  CARGO &CLEARING SERVICES -OVER NITE,overnite@emirates.net.ae,4-3332787,+971-4-3333877,,,
MIR JALILI VEGETABLES  FRUITS & FOOD STUFF TRADING CO (L.L.C),mirjalilifruits@eim.ae,4-3203800,+971-4-3203700,,,
MISSION MEDIA  ELECTRONICS (llc),,4-3937914,+971-4-3937914,,,
MODHISH CARGO TRANSPORT LIGHT TRUCKS,coolameen@hotmail.com,4-2978728,+971-4-2978738,,,
MOHAMMED AL KATHEERI CARGO (DUBAI BRANCH),mahfooz@eim.ae,4-6517829,+971-4-2628928,,,
MOHTISHAM MOHAMMED TRADING (L.L.C),qarira@hotmail.com,4-2258812,+971-4-2260032,,,
MONACO REAL ESTATE BROKERS,zaidr@dcdassetmgmt.com,4-3528895,+971-4-3528896,,,
MOON LADY TRADING (L.L.C),,4-3455531,,,,
MULTIPLAN INTERIOR DESIGN (L.L.C),bahacon@emirates.net.ae,4-3333443,+971-4-3333566,,,
MY HOME INTERNATIONAL PROPERTY BROKER,info@myhomedubai.com,4-3217855,+971-4-4572812,,,
NABIH ZUHOUR  GENERAL TRADING  CO (LLC),kapil@yahoo.com,4-3869644,4-3869640,,,
NAHAT GOLDSMITH,,4-2717157,+971-4-2354700,,,
NAHDI INVESTMENT CO. L.L.C,,,,,,
NAMA FREIGHT SERVICES  (L.L.C),namafs@eim.ae,4-2695962,,,,
NASOWR AL BAHAR COMMERCIAL BROKER,NASOWRALBAHAR@GMAIL.COM,04-2345593,04-2345443,,,
NEW ALTEEN TEXTILE TRADING  (L.L.C.),,4-3539564,+971-4-3539574,,,
NEW DESERT REAL ESTATE,newdesertproperties@gmail.com,4-3790002,4-3790002,,,
Nexopro Management Consulting DMCC,mohamed.amer@nexopro.com,04 3507089,,,,
NITANYA PERFUMES (L.L.C),,4-6788264,+971-4-3595288,,,
OBAID KHALFAN INTERNET SERVICES,,,,,,
OMER AL MULLA TRANSPORT BY HEAVY TRUCKS (L.L.C),,4-2870371,,,,
OMID AUTO SPARE PARTS CO. (L.L.C.),,04-2586400,+971-?04-2586300,,,
ORGANIX BUILDING SYSTEM (L.L.C),INFO@ORGANIXBS.COM,4-2676951,4-2676931,,,
ORION HEALTH SYSTEMS FZ-LLC,sam.amory@orionhealth.com,044495303,044470513,,,
OVERSEAS AST  CO. (L.L.C.),pro@overseas-ast.com,+971-4-3381400,+971-4-3386131,,,
OYSTER BAY  GEMS (LLC),oysterb@eim.ae,4-2353626,4-2353627,,,
